Alpha,n_tokens_title,n_tokens_content,num_hrefs,num_self_hrefs,average_token_length,num_keywords,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,is_weekend,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,avg_positive_polarity,avg_negative_polarity,title_subjectivity,title_sentiment_polarity,missing_kw_info,log_avg_shares_min_kw,log_avg_shares_max_kw,log_avg_shares_reference,num_imgs_cat,num_videos_cat
0.001,-0.00023971822441843765,0.004458343385139411,0.05869727276134915,-0.05342086011181201,-0.021198552604285728,0.019508722735898276,-0.028893476274217667,-0.13734761422686287,-0.048257872503114634,0.04545377651596774,-0.0003819238225309176,-0.1503706812782497,0.006556445311559844,-0.027094925062592826,-0.02650880325707568,-0.022219698574665558,0.0009833375489814464,0.0812531489343888,0.046951433792274413,0.005054566268403949,0.005884825442588725,-0.016022554100695405,-0.012319214321101757,0.011529068874213278,0.017177724556334185,0.004076896341908023,0.005983033039143166,0.09460918939130236,0.09356858829862796,0.035337036882083527,0.040355278117034765
0.01,-0.00023972274177698247,0.0044582934740283915,0.058697269868706395,-0.05342082411219752,-0.021198550864401533,0.01950872008324903,-0.02889337604257589,-0.13734743188615225,-0.0482577043700044,0.04545385329011656,-0.00038176852228697267,-0.15037046024008713,0.006556438743783479,-0.027094919652201954,-0.026508799439722605,-0.022219694867531996,0.0009833372134510395,0.0812531267140446,0.04695144501211145,0.005054550444173716,0.005884840715792786,-0.016022518125304717,-0.012319218091124367,0.011529074104985647,0.01717772099711333,0.004076887425776605,0.005983037373065666,0.09460919677375562,0.09356855575385656,0.03533707225307486,0.04035529628212933
0.1,-0.00023976791551324168,0.004457794380898022,0.05869724093571359,-0.05342046411414273,-0.02119853346449374,0.019508693557716346,-0.028892373759269112,-0.13734560853302655,-0.04825602309911231,0.04545462099752597,-0.0003802155802359583,-0.15036824992776246,0.00655639474138708,-0.027094842909061296,-0.02650873849252972,-0.022219635311127306,0.0009833542338861534,0.08125292364348155,0.046951557203698445,0.005054392210480297,0.0058849934426584115,-0.016022158379932632,-0.012319255790979687,0.01152912641132579,0.017177685404988884,0.004076798269503437,0.00598308071120456,0.094609270588421,0.09356823030513867,0.03533742594752893,0.04035547792083765
1.0,-0.000240219667944084,0.004452805246989208,0.058696950949557555,-0.05341686394281161,-0.02119835935887021,0.019508428398347422,-0.028882354236201516,-0.13732738039801493,-0.04823921640918704,0.04546229466492557,-0.0003646921964920508,-0.15034615373233987,0.006555956883946137,-0.027094073257671686,-0.026508126784040974,-0.0222190375565167,0.000983526385051582,0.08125089484991542,0.04695267844146389,0.00505281073413605,0.005886520193984742,-0.016018561779410204,-0.012319632752447273,0.01152964933641696,0.017177329492162993,0.004075907210702176,0.005983513984020976,0.09461000774865506,0.09356497571772923,0.03534096134660159,0.04035729308459106
10.0,-0.00024473867808144417,0.004403093024614539,0.05869398574827539,-0.05338084333223036,-0.02119660769187778,0.019505786365226662,-0.028782488857514714,-0.13714563680774441,-0.04807174928595964,0.045538691893283446,-0.0002100598815462956,-0.15012588215549133,0.006551582408490318,-0.027086376753817417,-0.02650200936724662,-0.02221306144278225,0.0009852427865699972,0.08123061051467828,0.04696382325417702,0.005037081699488382,0.005901736164040065,-0.01598268081273677,-0.012323398654067598,0.01153486479540073,0.017173771208716087,0.004067046815830925,0.005987835891858493,0.09461728106697323,0.0935324199425882,0.03537616133595212,0.040375322843156536
100.0,-0.00029005720631263037,0.003923280828608645,0.058658072764567006,-0.05301892152652855,-0.021178072214971214,0.019480288038302117,-0.027815711303755177,-0.13538017570541971,-0.04645500462409453,0.04626990152496871,0.001278191460693662,-0.1479898810162,0.0065082165482491456,-0.02700944400026529,-0.02644083137576103,-0.02215346572674659,0.0010018919291000857,0.08102811446648012,0.04706875197117694,0.00488804560209588,0.006048924684658829,-0.015632103269339927,-0.012360682211973235,0.011585678053652593,0.017138275665548163,0.003983269300239294,0.006030008567427204,0.09468053161484302,0.09320598924458608,0.03571328796674165,0.0405438709809879
1000.0,-0.0007419696958115319,0.0004108059321858111,0.05787159810977063,-0.04935063184362474,-0.0209218802888236,0.019292140527036435,-0.020515418318935275,-0.12159170370209729,-0.03456508364472505,0.0511782179752913,0.011889265476367263,-0.13158394115692518,0.00610594455977627,-0.026249032781213318,-0.025832956418332845,-0.02157331764017261,0.001129584322349812,0.07904269580316611,0.04764109250152257,0.0039898802686795624,0.007157797564642626,-0.012748675213100693,-0.012694287354960667,0.011988287597949402,0.016793777206859248,0.0034870152707875066,0.006373198667686485,0.09462062670439152,0.08993608527978865,0.037987124768651896,0.041377933871007994
10000.0,-0.003385108355348227,-0.0056913514233332,0.04644143523523976,-0.024683191270969435,-0.01772822909861182,0.018426811830821788,-0.0018907210627751596,-0.07488374353426669,-0.00948683942733777,0.05092306818423701,0.027403246935625354,-0.08190868403132069,0.0035419208940890277,-0.020303095593144686,-0.020842136523035328,-0.017032700132902957,0.0014147914903092935,0.06333103665105523,0.0439356367498263,0.005430670836324337,0.010313908560148577,-0.0008102645755180818,-0.013582741116071335,0.012743126827440951,0.014271848353150715,0.0037684065520651937,0.007583885857784984,0.08142110165044077,0.0669099857772437,0.03755100994370908,0.03465087317766727
