Feature,Coefficient
data_channel_is_world,-0.14694189485101797
data_channel_is_entertainment,-0.13413775208103257
is_weekend,0.09900308158100082
log_avg_shares_max_kw,0.09473746365155382
log_avg_shares_reference,0.09217586867437651
num_hrefs,0.058120748232875406
num_self_hrefs,-0.05068116557463606
global_subjectivity,0.047077039237682444
data_channel_is_socmed,0.04586904749704625
data_channel_is_bus,-0.045252039377712945
num_videos_cat,0.03972844720435031
num_imgs_cat,0.035534384593758635
weekday_is_monday,0.026430564930707324
data_channel_is_lifestyle,-0.026223728931574715
average_token_length,-0.020251278859631627
weekday_is_friday,0.01980212491684545
num_keywords,0.018305724974311394
title_sentiment_polarity,0.016644059578153497
avg_positive_polarity,-0.01219454198052501
title_subjectivity,0.010893202461787415
avg_negative_polarity,-0.01028596791462468
global_rate_positive_words,0.006817059944999319
log_avg_shares_min_kw,0.004840289688136101
weekday_is_tuesday,-0.004426692102915292
weekday_is_wednesday,-0.003832978477109039
missing_kw_info,0.0031759565736218954
n_tokens_content,0.002651278682505508
global_sentiment_polarity,0.0012624085993336036
data_channel_is_tech,0.00102969962584737
n_tokens_title,-0.0
weekday_is_thursday,-0.0
