Alpha,n_tokens_title,n_tokens_content,num_hrefs,num_self_hrefs,average_token_length,num_keywords,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,is_weekend,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,avg_positive_polarity,avg_negative_polarity,title_subjectivity,title_sentiment_polarity,missing_kw_info,log_avg_shares_min_kw,log_avg_shares_max_kw,log_avg_shares_reference,num_imgs_cat,num_videos_cat
0.001,-2.584265470802836e-05,0.001347230429700803,0.0572551781494419,-0.04558995443912635,-0.017743234596674987,0.01436567377737214,-0.02617382175822407,-0.13173563196194357,-0.04807108868106401,0.04463797905243762,0.0,-0.14956345054823408,0.020299603827110782,-0.0060203055148588544,-0.004191182435645299,-0.0,0.017392582420465878,0.09266007279162534,0.043312692128854406,-0.0,0.010265473473784814,-0.011353864745211464,-0.009577495266885607,0.012840078329574697,0.01731323911758124,0.007340052154213831,0.008758659370527904,0.0924852179392423,0.0869075744601176,0.030702286282269783,0.0350567807636319
0.01,-0.0,0.0,0.046371500641804564,-0.022018528235691785,-0.008611060025458904,0.004141799647314149,-0.006431546453292936,-0.10880275480231658,-0.029566802102965802,0.043069948684564666,0.0029941913611791363,-0.1278690490830105,0.006980815425423482,-0.003188834470122057,-0.002399828856913112,-0.0,0.005699611130080192,0.08232434644434987,0.04487079990201717,0.0,0.002838285515743642,-0.0,-0.0023956486764936517,0.009294871122420265,0.009517643053078643,0.0,0.0,0.09341669722884424,0.07530682002810879,0.027765445087548104,0.028947512684248448
0.1,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.03796445533064683,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.005120018667593707,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.049301584479334984,0.0028842524984214776,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
