Model,Alpha,R2_Mean,R2_Std,MAE_log_Mean,MAE_log_Std,RMSE_log_Mean,RMSE_log_Std,MAE_orig_Mean,MAE_orig_Std,RMSE_orig_Mean,RMSE_orig_Std,Train_Time_Mean,Train_Time_Std
Ridge,100.0,0.10765386748606823,0.01267221926395286,0.6441359156223182,0.005436328959424037,0.8663155497085155,0.009441321116855564,2339.85643875433,155.73139350421167,11588.698221852539,3080.0310126061845,0.007242250442504883,0.0014234670313632836
Lasso,0.001,0.10768700644868838,0.01251632981884815,0.6441310396556149,0.0054152259678795,0.8663012469512392,0.009504617873569775,2339.610544288559,155.86605453704226,11589.266135443071,3080.0489940149378,0.13345026969909668,0.0144490009379721
