Model,R2_Score,MAE_Log,RMSE_Log,MAE_Raw,RMSE_Raw
Ridge (alpha=100.0),0.10657432963074187,0.6437083035042908,0.8607389699118285,2157.764529360464,8088.767687435363
Lasso (alpha=0.001),0.10656558647095937,0.6437553338376425,0.8607431815436313,2157.542138120317,8089.295114603042
