Feature,Coefficient
data_channel_is_world,-0.1479898810162
data_channel_is_entertainment,-0.13538017570541971
log_avg_shares_max_kw,0.09468053161484302
log_avg_shares_reference,0.09320598924458608
is_weekend,0.08102811446648012
num_hrefs,0.058658072764567006
num_self_hrefs,-0.05301892152652855
global_subjectivity,0.04706875197117694
data_channel_is_bus,-0.04645500462409453
data_channel_is_socmed,0.04626990152496871
num_videos_cat,0.0405438709809879
num_imgs_cat,0.03571328796674165
data_channel_is_lifestyle,-0.027815711303755177
weekday_is_tuesday,-0.02700944400026529
weekday_is_wednesday,-0.02644083137576103
weekday_is_thursday,-0.02215346572674659
average_token_length,-0.021178072214971214
num_keywords,0.019480288038302117
title_sentiment_polarity,0.017138275665548163
avg_positive_polarity,-0.015632103269339927
avg_negative_polarity,-0.012360682211973235
title_subjectivity,0.011585678053652593
weekday_is_monday,0.0065082165482491456
global_rate_positive_words,0.006048924684658829
log_avg_shares_min_kw,0.006030008567427204
global_sentiment_polarity,0.00488804560209588
missing_kw_info,0.003983269300239294
n_tokens_content,0.003923280828608645
data_channel_is_tech,0.001278191460693662
weekday_is_friday,0.0010018919291000857
n_tokens_title,-0.00029005720631263037
